-- nunca, non ... mai	jamais (sens nég.)
(a) la	là (direction)
habitacion	demeure (habitation)
habitacion	habitation
habitante	habitant (s.)
habitar	demeurer (habiter)
habitual	habituel
habituar	habituer
habitude	habitude
hache	hache
hal	hall
haltar	s'arrêter
haltar	faire halte
haltar	stopper (vi., aussi)
halte	arrêt (halte)
halte	halte (s. et interj.)
halucinacion	hallucination
hamaque	hamac
hanche	hanche
handicap(e)	handicap
hangar	hangar
har	avoir
har besonie de	falloir (avoir besoin de)
har justo dinate	sortir de diner
harem	harem
harengue	hareng
harmonía	harmonie (mus., fig.)
harmoniose	harmonieux
harnese	harnais
harpa	harpe
hasarde	aventure (hasard)
hasarde	hasard
hastar	hâter
hastar	précipiter (hâter)
hastar	presser (hâter)
hastar se	se dépêcher
hastar se	s'empresser (se hâter)
haste	hâte
haste	presse (hâte)
hectique	hectique
hectogram	hectogramme
helice	hélice
henisar	hennir
hepate	foie
herbe	herbe
heritage	héritage
heritar	hériter
heritaria	héritière
heritario	héritier
hermin	hermine
heroa	héroïne
heroe	héros
heroíque	héroïque
heroísme	héroïsme
hesitacion	hésitation
hesitar	hésiter
hiacinte	jacinthe
hiberne	hiver
hidroplan	hydroplane
hiena	hyène
higien	hygiène
higienique	hygiénique
himne	hymne
hinduan	hindou
hipar	hoqueter
hipnose	hypnose
hipnotique	hypnotique
hipnotisar	hypnotiser
hipocrisía	hypocrisie
hipocrite	hypocrite
hipopotam	hippopotame
hipotese	hypothèse
hirondel	hirondelle
hisar	hisser
histería	hystérie
histerique	hystérique
historia	histoire
historique	historique
hodie	aujourd'hui
holá!	holà!
Holande	Hollande
holandese	hollandais
hom	homme (espèce)
homage	hommage
homarde	homard
homeopathe	homéopathe
homicide	meurtrier
homicidio	meurtre
homo	homme (opp. à femme)
honeste	brave (honnête)
honeste	honnête
honestitá	honnêteté
honor	honneur
honorable	honorable
honorar	honorer
honorario	honoraire (s.)
hora	heure
horari	horaire (a.)
horario	horaire (s.)
horible	affreux
horible	horrible
horizontal	horizontal
horizonte	horizon
horloge	horloge
horloge (de poche)	montre (horloge)
horloge de revelie	réveille-matin
horlogero	horloger
horor	horreur
hospice	hospice
hospital	hôpital
hospitalitá	hospitalité
hoste	hôte (qui reçoit)
hostesa	hôtesse (qui reçoit)
hostia	hostie
hostil	hostile
hostilitá	hostilité
hotel	hôtel (hötellerie)
hotelera	hôtesse (patron d'hôtel)
hotelera	hôtelière
hotelería	auberge
hotelero	aubergiste
hotelero	hôte (patron d'hôtel)
hotelero	hôtelier
hove	boeuf
human	humain
humanitá	humanité
humanitari	humanitaire
humide	humide
humiditá	humidité
humil	humble
humiliacion	humiliation
humiliar	humilier
humilitá	humilité
humor	humeur (mor.)
humore	humour
humoriste	humoriste
humoristique	humoristique
Hungaria	Hongrie
hungarian	hongrois
hurá	hourra
hurlar	hurler
i	et
idea	idée
ideal	idéal
idealiste	idéaliste
identificacion	identification
identificar	identifier
identique	identique
identitá	identité
idil	idylle
idilique	idyllique
idiocía	idiotie
idiote	idiot (s.)
idiotique	idiot (a.)
idol	idole
idolatrar	idolâtrer
ignorance	ignorance
ignorante	ignorant
ignorar	ignorer
il	elle (pas rapp. à un être fém.)
il	il
il	lui (pron. accentué, nom.)
il e scribante	il est en train d'écrire
il ha justo sortate	il vient de sortir
ilegal	illégal
ilegitim	illégitime
ilimitate	illimité
ilogique	illogique
ilusion	illusion
ilusori	illusoire
ilustracion	illustration (image)
ilustrar	illustrer (par images)
image	image
imaginable	imaginable
imaginacion	imagination
imaginar se	s'imaginer
imaginari	imaginaire
imbalar	emballer (empaqueter)
imbarcar	embarquer
imbecil	imbécile
imbrazar	embrasser
imbroliar	embrouiller
imediate	immédiat
imediatemente	tout de suite
imense	immense
imeritate	immérité
imigrar	immigrer
imitacion	imitation
imitar	imiter
imobil	immobile
imoderate	immodéré
imoral	immoral
imoralitá	immoralité
imortal	immortel
imortalitá	immortalité
impacience	impatience
impaciente	impatient
imparcial	impartial
impardonable	impardonnable
impari	impair (a.)
impedar	empêcher
impenetrable	impénétrable
imperator	empereur
imperatora	impératrice
imperfecte	imparfait (a. et s.)
imperio	empire (État)
impertinence	impertinence
impertinente	impertinent
impietá	impiété
impiose	impie
implicar	impliquer
implorar	implorer
impolite	impoli
impolitese	impolitesse
impopulari	impopulaire
impopularitá	impopularité
importacion	importation
importance	importance
importante	important
importar	importer
importator	importateur (s.)
importunar	importuner
imposar	imposer (vi.)
imposibilitá	impossibilité
imposible	impossible
imposte	impôt
impotence	impuissance
impotente	impuissant
impresar	imprimer
impresario	impresario
impresion	impression
imprevidate	imprévu
imprimacion	impression (action d'imprimer)
imprimar	imprimer (techn.)
imprimato	imprimé (s.)
imprimería	imprimerie
imprisonar	emprisonner
improbable	improbable
improvisacion	improvisation
improvisar	improviser
imprudence	imprudence
imprudente	imprudent
impudence	impudence
impudente	impudent
impulsion	impulsion
impulsiv	impulsif
impur	impur
impuritá	impureté
in	dans
in	en (prép)
in alto	en haut (direction)
in avance	d'avance
in avance	à l'avance
in casa	à la maison
in compensacion	en revanche
in le campanie	à la campagne
in le futuro	à l'avenir
in le medie de	parmi (au milieu de)
in le pasato	autrefois
in locacion	louer (dar)
in loco de	au lieu de
in poco	sous peu
in tempo	à temps
in van	en vain
inactiv	inactif
inactivitá	inactivité
inamorar se	tomber amoureux
inarticulate	inarticulé
inatentiv	inattentif
inaudiate	inouï
inauguracion	inauguration
inaugurar	inaugurer
incantamente	enchantement
incantar	enchanter
incapable	incapable
incarnacion	incarnation
incendie	incendie
incense	encens
incertan	incertain
incertitude	incertitude
incidente	incident (s.)
incivilisate	incivilisé
inclinacion	inclinaison
inclinacion	inclination
inclinacion	penchant (s.)
inclinar	incliner
inclinar	pencher
includar	comprendre (inclure)
includar	enfermer
includar	inclure
includar	renfermer (enfermer)
inclusivmente	inclusivement
incoherente	incohérent
incolerar	fâcher (mettre en colère)
incomodar	gêner
incomparable	incomparable
incompensible	incompréhensible
incompetence	incompétence
incompetente	incompétent
incomplete	incomplet
inconsiderate	irréfléchi (pers.)
incorajamente	encouragement
incorajar	encourager
indeman	lendemain
indexe	aiguille (d'un cadran)
indicar	marquer (indiquer)
indigen	natif (naturel)
indormar	endormir
inebriar	enivrer
inevitable	inévitable
inexacte	inexact
inexcusable	inexcusable
inexpectate	inattendu
inexperience	inexpérience
inexplicable	inexplicable
infam	infâme
infamia	infamie
infance	enfance
infante	enfant
infantería	infanterie
infantil	enfantin
infantil	infantile
infatigable	infatigable
infecion	infection
infectar	infecter
infelice	malheureux
infelicitá	malheur (état)
inferior	inférieur
inferioritá	infériorité
infernal	infernal
inferno	enfer
infertil	infertile
infidel	infidèle
infidelitá	infidélité
infinitá	infinité
infinite	infini (a.)
infirmera	infirmière
infirmero	infirmier
inflacion	inflation
inflamacion	inflammation
inflamar	enflammer
inflar	enfler (vt.)
inflar	gonfler
inflar	souffler (enfler, gonfler)
inflexible	inflexible
influar	influer
influence	influence
influenza	grippe (méd.)
influenzar	influencer
informacion	information
informacion	renseignement
informar	informer
informar	renseigner (informer)
infortuna	malheur (événement)
infortunate	malheureux
infridar	enrhumer
infusar	infuser
ingecion	injection
ingectar	injecter
ingeniero	ingénieur
ingeniose	ingénieux
ingeniositá	esprit (ingéniosité)
ingeniositá	ingéniosité
inglutar	avaler (engloutir)
inglutar	engloutir
ingrate	ingrat
ingratitude	ingratitude
inguerisable	inguérissable
inhabil	inhabile
inhabil	maladroit
inhabilitá	inhabileté
inhuman	inhumain
inhumanitá	inhumanité
iniciar	initier
iniciativa	initiative
inimaginable	inimaginable
inimica	ennemie (s.)
inimical	ennemi (a.)
inimicitá	inimitié
inimico	ennemi (s.)
inimitable	inimitable
injuste	injuste
injustice	injustice
inlazar	enlacer
inocence	innocence
inocente	innocent
inocupate	inoccupé
inquietar	inquiéter
inquiete	inquiet
inquietude	inquiétude
insaciable	insatiable
insalubre	insalubre
inscribar	inscrire
inscripcion	inscription
insecte	insecte
insecuritá	insécurité
inseniamente	enseignement
inseniar	apprendre (enseigner)
inseniar	enseigner
insensate	insensé
insensibilitá	insensibilité
insensible	insensible
insertar	insérer
insigne	enseigne (de boutique)
insignificante	insignifiant
insinuacion	insinuation
insinuar	insinuer
insipide	insipide
insistance	insistance
insistar	insister
insolence	insolence
insolente	insolent
insolvable	insoluble
insomnie	insomnie
inspecion	inspection
inspectar	inspecter
inspiracion	inspiration (fig.)
inspirar	inspirer (fig.)
instalacion	installation
instalar	installer
instantan	instantané
instante	instant (s.)
instinte	instinct
instintiv	instinctif
institucion	institution
institutar	instituer
institute	institut
instrucion	instruction
instructar	instruire (enseigner)
instructiv	instructif
instructor	instructeur
instructor	maître (d'école)
instructora	maîtresse (d'école)
instrumente	instrument
insuciance	insouciance
insuciante	insouciant
insufizante	insuffisant
insul	île
insulari	insulaire (a.)
insulario	insulaire (s.)
insultar	insulter
insulte	insulte
insuportable	insupportable
integritá	intégrité
intelecte	intellect
intelecte	intelligence (intellect)
intelectual	intellectuel
inteligence	intelligence (qualité)
inteligente	intelligent
intencion	intention
intencional	intentionnel
intendar	entendre (vouloir dire)
intense	intense
intensitá	intensité
interamente	enterrement
interar	enterrer
interdicar	défendre (interdire)
interdicar	interdire (défendre)
interdicion	défense (interdiction)
interdicion	interdiction (défense)
interesante	intéressant
interesar	intéresser
interese	intérêt
interior	dedans (s.)
interior	intérieur
internacional	international
internar	interner
internato	internat
interne	interne
interogar	interroger
interogativ	interrogatif
interogatorio	interrogatoire
interpretacion	interprétation
interpretar	interpréter
interprete	interprète
interupcion	interruption
interuptar	interrompre
intestin	intestin (s.)
intim	intime
intimitá	intimité
intolerable	intolérable
intolerance	intolérance
intolerante	intolérant
intrepide	intrépide
intrepiditá	intrépidité
intriga	intrigue
intrigar	intriguer
intro	dans (direction, aussi)
introducion	introduction
introductar	introduire
intuicion	intuition
inturnar	entourer
inturne	autour [de]
inturne	à la ronde
inubliable	inoubliable
inultre	d'ailleurs
inultre	en outre
inultre	plus (en outre)
inumerable	innombrable
inundacion	inondation
inundar	inonder
inutil	inutile
inutilitá	inutilité
invadar	envahir
invalide	invalide
invasion	invasion
invectiva	invective
invectivar	invectiver
invencion	invention
invenenar	empoisonner
inventar	inventer
inventor	inventeur
inverse	inverse (a.)
invidia	envie (haine jalouse)
invidiable	enviable
invidiar	envier
invidiose	envieux
invisible	invisible
invitacion	invitation
invitar	inviter
invitar	prier (inviter)
invitata	hôtesse (reçu)
invitate	hôte (reçu)
involuntari	involontaire
ireal	irréel
ireconciliable	irréconciliable
ireflecion	irréflexion
ireflectate	irréfléchi (acte)
iregulari	irrégulier
iregularitá	irrégularité
iremediable	irrémédiable
ireparable	irréparable
ireprochable	irréprochable
iresolute	irrésolu (hésitant)
iresolutese	irrésolution
irespectuose	irrespectueux
iresponsable	irresponsable
irestible	irrésistible
irise	iris
iritable	irritable
iritacion	irritation
iritar	irriter
iritar	vexer (irriter)
Irlande	Irlande
irlandese	irlandais
ironía	ironie
ironique	ironique
islam	islam
Islande	Islande
islandese	islandais
isolamente	isolement
isolar	isoler
israelite	israélite
Italia	Italie
italian	italien
ivor	ivoire
ja	déjà
jal	jaune
jaluse	jaloux
jalusía	jalousie (sentiment)
jambe	jambe
jambon	jambon
januario	janvier
Japon	Japon
japonese	japonais
jaquete	jaquette
jardin	jardin
jardinera	jardinière
jardinero	jardinier
jargon	jargon
jocar	jouer
joco	jeu
jodi	jeudi
joquete	jouet
jovial	jovial
jovialitá	jovialité
joyar	réjouir
joye	joie
joyel	bijou (joyau)
joyel	joyau
joyelero	bijoutier
joyelero	joaillier
joyose	joyeux
jubilacion	jubilation
jubilar	jubiler
jubileo	jubilé (s.)
judaíque	judaïque
judaíque	juif (a.)
judaíque	juive (a.)
judea	juive (s.)
judeo	juif (s.)
judicar	juger (droit)
judice	juge (droit)
judicio	jugement (droit)
juge	juge
jujamente	jugement
jujar	juger
julio	juillet
jun	jeune
junco	jone
junese	jeunesse
jungle	jungle
junio	juin
juntar	joindre
jupe	jupe
jupon	jupon
juramente	serment
jurar	jurer
juri	jury
juridique	juridique
juriste	juriste
jurnal	journal
jurnaliste	journaliste
juron	juron
juste	juste (a.)
justemente	juste (adv.)
justice	justice
justificar	justifier
justo	justement (précisément)
juvenil	juvénile
la	là
la via	là-bas
la, a la	y (là)
labie	lèvre
laboratorio	laboratoire
lacerar	déchirer
lacerte	lézard
lacte	lait
lago	lac
laide	laid
laide	vilain (laid)
laidese	laideur
lame	lame (de métal, de couteau)
lampe	lampe
lana	laine
lance	lance
languide	langoureux
lanterna	lanterne
lanzar	jeter (lancer)
lanzar	lancer
larde	lard
largue	large (a.)
laringe	larynx
larve	larve
lasar	laisser
lasar	quitter (laisser là)
lasar andar	lâcher (laisser aller)
lata	fer-blanc
latente	latent
latin	latin
latitude	latitude (géogr.)
lato	côté
laton	laiton
laudable	louable
laudar	louanger
laudar	louer (louanger)
laude	éloge
laude	louange
lavabo	lavabo (meuble)
lavar	laver
laxar	lâcher (détendre)
laxativ	laxatif (a.)
laxe	lâche (non tendu)
lazar	lacer
le	la (article)
le	le (article)
le	les (article)
le Alpes	Alpes, les
le Balcanes	Balkans, les
le dia precedante	veille (le jour précédent)
le mas	la plupart (de)
le mas	le plus
le mases	la plupart (pron. plur.)
le melior	le meilleur (superl.)
le pejor	le pire (superl.)
le un dopo le altre	tour à tour
lecar	lécher
lecion	leçon
lectar	lire
lector	conférencier
lector	lecteur
lectora	conférencière
lectora	lectrice
legacion	légation
legal	légal
legalisar	légaliser
legalitá	légalité
legar	léguer
lege	droit (loi)
lege	loi
legende	légende
leger	léger
legion	légion
legitim	légitime
legitimacion	légitimation
legitimar	légitimer
legum	légume
lei	elle (pron. accentué (acc.))
lei	la (pron., d'un être féminin)
lei, a lei	lui (datif fém.)
lense	lentille (légume, phys.)
lente	lent
lentese	lenteur
leon	lion
leona	lionne
leoparde	léopard
lepor	lièvre
les	elles (acc.)
les	eux (acc.)
les	les (pron. pers.)
les / a les	leur (pron. pers.)
letra	lettre (de l'alphabet)
letre	lettre (missive)
levar	lever (vt. et s.)
lezon	leçon (devoir)
li	elles
li	eux
li	ils
liber	libre
liberacion	libération
liberal	libéral
liberar	délivrer (libérer)
liberar	libérer
liberator	libérateur (s.)
libertá	liberté
libra	livre (sf.)
libre	livre (sm.)
librería	librairie
librete	livret
libreto	livret (mus.)
licence	licence (permission)
liceo	lycée
licor	liqueur
liga	ligue
ligacion	liaison (action)
ligar	lier
ligne	bois (matière)
lila	lilas (couleur)
lilie	lis
limitar	borner (limiter)
limitar	limiter
limitar	terminer (limiter)
limite	borne (limite)
limite	limite
limonada	limonade
linchar	lyncher
linge	linge
linge de lite	drap (linge de lit)
lingua	langue (organe, langage)
linguage	langage
lingüiste	linguiste
lingüistica	linguistique (s.)
linie	ligne
liquide	liquide
lira	lyre
lirique	lyrique
lisar	lisser
lise	lisse
liste	liste
lite	lit
literari	littéraire
literatur	littérature
litería	literie
litre	litre
liutenante	lieutenant
livide	livide
livracion	livraison
livrar	livrer
livrar	remettre (mettre en mains)
livrea	livrée
lo	ça (pron.)
lo	ce (pron. neutre)
lo	cela (ça)
lo	il (pron. impers.)
lo	la (autrement)
lo	le (de choses et pron. impers.)
lo e	il y a
lo e	il y a (il est)
lo e calde	il fait chaud
lo e urgente	cela presse
lo mas	plupart (pron. neutre)
lo mas	le plus
lo melio	le mieux (superl.)
lo pejo	le pis
lo poque	le peu
lo posible	le possible
lo presente	le présent (s., temps)
lo principal	le principal (la chose plincipale)
local	local (a. et s.)
locar	louer (une maison)
locar	loyer
locatario	locataire
loco	endroit (lieu)
loco	lieu
locomotiva	locomotive (s.)
loge	loge
logica	logique (s.)
logique	logique (a.)
lojar	loger
Lóndon	Londres
londonese	londonien
longitude	longitude
longo	le long de
longue	grand (de stature)
longue	long (a.)
longuemente	longtemps
longuese	long (s.)
longuese	longueur
lontan	éloigné
lontan	lointain (a.)
lontanmente	loin (direction)
lontano	loin (situation)
lor	leur (a. et pron. poss.)
lotería	loterie
loyal	loyal
loyalitá	loyauté
luce	lumière
luctar	lutter
luctator	lutteur
lucte	lutte
ludar	jouer (mus., théâtre)
lude	jeu (mus., théâtre)
lui	le (pron. de pers.)
lui	lui (acc.)
lui, a lui	lui (datif masc.)
lumbago	lumbago
lume	lumière
lume de luna	clair de lune
luminacion	éclairage
luminar	éclairer
luminose	lumineux
luna	lune
lundi	lundi
lupe	loup (zool.)
luteran	luthérien
lutin	lutin
luto	luth
luxar	luxer
luxe	luxe
luxuose	luxueux
luzar	luire
ma	mais
mache	match
machin	machine
machiniste	mécanicien (conducteur)
macul	tache
macular	tacher
madona	madone
maestra	maîtresse
maestre	maître
magasin	magasin
magestá	majesté
magestuose	majestueux
magía	magie
magique	magique
magnanim	magnanime
magnetique	magnétique
magnetisar	magnétiser
magnetisme	magnétisme
magnifique	magnifique
magrar	maigrir
magre	maigre
magrese	maigreur
mahometan	mahométan
mahometisme	mahométisme
mai	jamais (sens positif)
major	majeur (a.)
majoritá	majorité
mal	mal (s., seul. au sing. et adv.)
malade	malade
maladía	maladie
maladiv	maladif
malchance	malchance
malchance	malheur (mauvaise chance)
malcomprension	malentendu
maldicar	maudire
maldicion	malédiction
male	mauvais (a.)
male	vilain (a., mauvais)
malgre	malgré
malgre que	malgré que
maliciose	malicieux
maligne	malin
maligne	maligne
maligne	méchant
maligne	vilain (méchant)
malsan	malsain
maltratar	maltraiter
mamá	maman
mamelar	téter
manarde	mansarde
mancar	faillir (manquer)
mancar	falloir (manquer)
mancar	manquer
manche	manche (sf.)
manchete	manchette
mancho	manche (sm.)
mancho	poigné (manche)
manchon	manchon
mandato	mandat
mandato de posta	mandat-poste
mandolin	mandoline
manejar	manier
manequin	mannequin
maner	façon (manière)
maner	manière
manía	manie
manicurista	manicure
manicuriste	manicure
manifestacion	manifestation
manifestar	manifester
manivel	manivelle
manjar	manger (v. et s.)
mano	main
manovrar	manoeuvrer
manovre	manoeuvre (sf.)
manque	défaut (manque)
manque	manque
mantel	manteau (vêtement)
mantel	pardessus
mantenar	entretenir (maintenir)
mantenar	maintenir
manual	manuel (a. et s.)
manuscripte	manuscrit (s.)
mapa	carte (geog.)
mar	mer
marcar	marquer
marce	mars (mois)
marchar	marcher (v.)
marche	marche
mardi	mardi
marea	marée
marechal	maréchal (grade)
margin	marge
marin	marin (a.)
marina	marine
marinero	marin (s.)
marinero	matelot
marita	femme (épouse)
maritage	mariage
maritar	marier
marito	mari
marmelada	marmelade
marmita	pot (marmite)
marmor	marbre
Maroco	Maroc
marque	marque
marque de posta	timbre-poste
marquesa	marquise
marquese	marquis
Marselie	Marseille
marseliese	marseillais
martel	marteau
martir	martyr
martirio	martyre
mas bien	le mieux (superl.)
mas bon	le meilleur (superl.)
mas mal	le pis
mas male	le pire (superl.)
mas viel	aîné
masa	masse (quantité)
masacre	massacre (carnage)
masage	massage
masagista	masseuse
masagiste	masseur
masajar	masser (pétrir)
mascar	masquer
mascarada	mascarade
mascote	mascotte
mascul	mâle (a. et s.)
masculin	masculin
masiv	massif
masque	masque
maste	mât
masticar	mâcher
matematica	mathématique (s.)
matematique	mathématique (a.)
materia	étoffe (matière)
materia	matière
material	matériel
materiales (pl.)	matériaux (pl.)
materialisme	matérialisme
materialiste	matérialiste
matin	matin
matinada	matinée (théâtre)
matrase	matelas
matre	mère
matrimonial	matrimonial
matur	mûr
maturar	mûrir
maturitá	maturité
maxil	mâchoire
maximum	maximum (s.)
maye	mai (mois)
me	me
me	moi (accusatif)
me, a me	me (datif)
mecanisme	mécanisme
medalie	médaille
medalion	médaillon
medi	demi
medi-cuaresma	mi-carême
medi-dia	midi (heure)
medi-nocte	minuit
mediacion	médiation
median	médian
median	moyen (a.)
medical	médical
medicamente	médicament
medican	médecin
medicin	médecine
medie	milieu (centre)
medieval	médiéval
medio	moyen (s.)
mediocre	médiocre (a.)
meditá	moitiè (s.)
meditacion	méditation
meditar	méditer
Mediteraneo	Méditerrannée
melancolía	mélancolie
melancolique	mélancolique
melio	mieux
melior	meilleur
melodía	air (mus.)
melodía	mélodie
melon	melon
mem	même (a.)
membre	membre
meme	même (adv.)
memorar se	se souvenir de
memoria	mémoire (sf., faculté)
memoria	souvenir (s.)
men	moins
menace	menace
menage	ménage (administration)
menagera	ménagère (sf.)
menagería	ménagerie
menar	mener
menar via	emmener
menazar	menacer
mencion	mention
mencionar	mentionner
mendicanta	mendiante
mendicante	mendiant
mendicar	mendier
mense	mois
mensual	mensuel
mensur	mesure
mensurar	mesurer
mental	mental
mentalitá	mentalité
mente	âme (ensemble des états de conscience)
mente	esprit (tendance)
mentir	mensonge
mentirar	mentir
menton	menton
mentre	pendant que
mentre que	tandis que
menú	menu (s., de repas)
meravilie	merveille
meraviliose	merveilleux (a.)
mercancía	marchandise
mercante	marchand (s.)
mercantil	mercantile
mercato	marché (lieu et fig.)
mercurio	mercure
meridian	méridien
meritar	mériter
merite	mérite
mesage	message
Mesía	Messie
mestiera	métier (profession)
metal	métal
meteor	météore
meteorología	météorologie
meteorologique	météorologique
metode	méthode
metodique	méthodique
metodiste	méthodiste
metre	mètre
metro	métro
metropol	métropole
mexican	mexicain
México	Mexique
mi	ma (a. poss.)
mi	mes (pl. de mon)
mi	mien
mi	mienne
mi	mon
mi	ma
mi	mes
mi amor	mon chéri
miaular	miauler
microfon	microphone
microscope	microscope
microscopique	micriscopique
miel	miel
mierdi	mercredi
mil	mille (nombre)
miliardario	milliardaire
miliarde	milliard
miliario	millier
milie	mille (mesure)
miligram	milligramme
milimetre	millimètre
milion	million
milionario	millionnaire
militari	militaire (a.)
militario	militaire (s.)
mimica	mimique (s.)
mimique	mimique (a.)
min	air (mine)
min	mine (du visage)
mina	mine (d'extraction, mil.)
mineral	minéral
minimum	minimum (s.)
ministerio	ministère (d'État)
ministre	ministre (d'État)
minor	mineur (a.)
minor	moindre
minoritá	minorité
minuta	minute (original)
minute	minute (de temps, d'angle)
miope	myope
miosote	myosotis
miracle	miracle
miraculose	miraculeux
misa	messe
misantrope	misanthrope
miserable	misérable
miseria	misère
misericordia	miséricorde
misericordia	pitié
misericordiose	miséricordieux
mision	mission
misionario	missionaire
misterio	mystère
misteriose	mystérieux
mistica	mystique (s.)
misticisme	mysticisme
mistificacion	mystification
mistificar	mystifier
mistique	mystique (a.)
misucan	musicien
mitar	mettre
mite	mite (teigne)
mito	mythe
mitología	mythologie
mitraliose	mitrailleuse
mixtar	mélanger
mixtar	mêler
mixtur	mélange
mobilisacion	mobilisation (mil.)
mobilisar	mobiliser (mil.)
moblar	meubler
moblari	mobilier (a.)
moblario	mobilier (s.)
moble	meuble (s.)
moda	mode (sf.)
model	modèle
moderacion	modération
moderar	modérer
moderne	moderne
modernisar	moderniser
modeste	modeste
modestía	modestie
modificar	modifier
modista	modiste
modo	mode (sm., philos., mus., gram.)
mol	lâche (mou)
mol	mou
mol	mol
mol	tendre (mou)
molecul	molécule
molestar	molester
molete	mollet (s.)
molin	moulin
molo	môle (sm.)
momente	moment
monaca	nonne
monaque	moine
monarque	monarque
monarquía	monarchie
monarquía	royaume
monasterio	monastère
mondan	mondain
monde	monde
mondial	mondial
monete	monnaie
monocle	lorgnon (monocle)
monogram	monogramme
monopol	monopole
monoton	monotone
monotonía	monotonie
monstrar	montrer
monstro	monstre
monstruose	monstrueux
montada	montée
montanie	montagne
montar	hausser (prix)
montar	monter
monte	mont
monumente	monument
moral	moral (a. et s.)
moralisar	moraliser
moralitá	moralité
morbil	rougeole
mordar	mordre
mores (pl.)	moeurs (pl.)
morfin	morphine
moriar	mourir
moriate	mort (a.)
mormon	mormon
morose	morose
morse	bride (mors)
morse	frein (mors)
mortal	mortel
mortalitá	mortalité
mortar	tuer
morte	mort (sf.)
mosca	mouche (insecte)
Moscu	Moscou
mosquea	mosquée
mosquito	moustique
motiv	motif
motivar	motiver
motociclete	motocyclette
motor	moteur (s.)
movar	mouvoir
movar	remuer (mouvoir)
movar se	bouger
movimente	mouvement
mufar	moisir
mugisar	mugir
mulata	mulâtresse
mulate	mulâtre
muliar	mouiller (tremper)
muliar	tremper (mouiller)
mulo	mulet (animal)
multe	beaucoup de (a.)
multe	beaucoup de (pron. sing.)
multe	bien des
multes	beaucoup de (pron. pl.)
multicolor	multicolore
multiplicacion	multiplication
multiplicar	multiplier
multitude	foule
multitude	multitude
multo	beaucoup (adv., pron. neutre)
multo	bien (beaucop)
multo	fort (bien, beaucoup)
multo	très
multo bien	à la bonne heure
mumie	momie
municipal	municipal
mur	mur
muralie	muraille (ville, fort)
murmurar	murmurer
muscle	muscle
musco	mousse (sf., plante)
musel	museau
museo	musée
musica	musique
musical	musical
mustache	moustache
mustarde	moutarde
mute	muet (a.)
mutilar	mutiler
mutinería	mutinerie (révolte)
muton	mouton (animal)
mutual	mutuel
nacion	nation
nacional	national
nacionalisar	nationaliser
nacionalitá	nationalité
naív	naïf
naív	simple (naïf)
naivitá	naïveté
nano	nain (s.)
Nápoli	Naples
narcose	narcose
narcotique	narcotique
nasal	nasal
nascance	naissance
nascar	naître
nase	nez
Natal	Noël
natalitá	natalité
natar	nager
nativ	natif (a.)
natur	nature
natural	naturel (a.)
naturalisar	naturaliser
naturalisme	naturalisme
naufragar	échouer
naufragar	faire naufrage
naufrage	naufrage
nausea	nausée
nautique	nautique
naval	naval
nave	navire
nave	nef
nave	vaisseau (navire)
navigacion	navigation
navigar	naviguer
neble	brouillard (brume)
necesari	nécessaire (a.)
necesitá	nécessité
necesitar	nécessiter
necrología	nécrologie
negacion	négation
negar	nier
negativ	négatif (a.)
negligence	négligence
negligence	nonchalance
negligente	négligent (a.)
negligente	nonchalant
neglijar	négliger
negociante	négociant
negociar	traiter (négocier)
negra	négresse
negre	nègre
nepota	petite-fille
nepotas	petits-enfants
nepote	petit-fils
nepotes	petits-enfants
nerve	nerf
nervose	nerveux
nervositá	nervosité
netage	nettoiement
netage	nettoyage
netar	nettoyer
nete	net (a., propre, prix, poids)
nete	propre (opp. à sale)
neuralgía	névralgie
neurastenía	neurasthénie
neurose	névrose
neutral	neutre (a.)
neutralitá	neutralité
neutre	neutre (a.)
neva	nièce
nevo	neveu
neyar	se noyer (involont.)
ni	ni
nicotin	nicotine
nide	nid
nigre	noir (a.)
Nil	Nil
nimfe	nymphe
niquel	nickel
nivar	neiger
nive	neige
nivel	niveau (plan horizontal)
nivelar	nivelar
no	non (interj.)
no	non...pas
no	pas (interj. non)
nobil	noble (de naissance)
nobil homo	gentilhomme
nobilisar	anoblir
nobilitá	noblesse (de naissance)
noble	noble (de caractère)
noblese	noblesse (de caractère)
nociar	nuire
nocion	idée (notion)
nociv	nuisible
nocte	nuit
nodar	nouer
node	noeud
nomade	nomade
nomar	nommer
nome	nom
nominar	nommer (élire)
non	ne...pas
non	non...pas (adv.)
non	pas (adv.)
non	ne...point (adv.)
non...mai	ne...jamais
non...plu	ne...plus
nondimen	néanmoins
nondimen	toujours (néanmoins)
nondimen	toutefois
norde	nord
nordeste	nord-est
nordique	nordique
nordoveste	nord-ouest
normal	normal
Norvege	Norvège
norvegese	norvégien
nos	nous (accusatif)
nos, a nos	nous (datif)
nostalgía	nostalgie
nota	note
notar	noter
notario	notaire
notice	notice
notre	nos
notre	notre
notre	nôtre
nov	neuf (a.)
nov	nouveau (neuf, aussi)
novante	quatre-vingt-dix
novante un	quatre-vingt-once
nove	neuf (nombre)
novece	dix-neuf
novel	nouveau (a.)
novela	nouvelle (s.)
novele	nouvelle (conte)
noveltá	nouveauté
novembre	novembre
nu	nous
nuance	nuance
nuanzar	nuancer
nube	nuage
nubose	nuageux
nuca	nuque
nude	nu
nuditá	nudité
nul	necun
nul	nul (ne...nul)
nul	pas de
nul	ne ... personne
